TweetId,Label,TweetText
304271250237304833,Politics,dollar value deepest value seckerry american statedept measured usaid term
304834304222064640,Politics,rraina1481 fear
303568995880144898,Sports,west video final wwc13 watch highlight indie httptcolbxiik3j australia
304366580664528896,Sports,nitro circus albertpark theymakeitlooksoeasy chadwickmodels chelscanlan ausgrandprix cantwaitforausgp rt
296770931098009601,Sports,good thanks feedback thing always cricketfox
306713195832307712,Politics,create monetary policy consolidation dr act rajan space fiscal
306100962337112064,Politics,spending congress doesnt employee stop 800000 unpaid defense take cut jobsnotcuts leave impending forced fact
305951758759366657,Sports,39 wade bcci clarke wkt 24 httptcofvnl1ktpb1 au 1st indvaus test run 1014
304482567158104065,Sports,team httptcojruuv4orbs closer qualifying take try wt20 week check fixture africa top step
303806584964935680,Sports,cricket unusual tweet beat stopped play rorygribbell halted zebra reason club match
306682472169623552,Sports,great queensland jason well qld floros thanks 9146 httptcoqzcfgxsb2e ryobiodc inning finished 47 knock
306094964914401280,Politics,thanks rubbish khannisara respond wont
294606381783322625,Politics,want mary sec jo president today httptcoimfznkef obama nominates white announced run
284243333201686528,Politics,pm december translation 26 opening english 2012nhttptcoa0zpjo8s conference httptcoxvuiivdh press abe statement
254347919229063168,Politics,campaigned commitment httptcoo9drmjg5 doesnu2019t record rhetoric year match military barackobama
303458616621535235,Sports,harry gb others hhho special support wearing give bracelet harrymoseley rt team help htt cup fed aegonclassic
304642350859304960,Sports,yes themanojprasad
306322535920857088,Politics,committed first priority identified budget funding project time railway ongoing 347
305087150821625856,Sports,buy general march ticket price cantwaitforausgp bird httptcopx3l7ppapc ausgp admission f1 early
300155542826008577,Sports,robson back treatment left shoulder following injury court gbfedcup
305615385623945216,Sports,one india dhoniu2019s captain raghavitis fewer test indvaus httptcoswo35y8b0b ht critic ganguly run
304270365704744960,Sports,sadly ailing come could tagore sharmila
266017766702723072,Politics,mourdock speaking newsource indiana race live richard ch senate
303453980573437952,Sports,cowan india showing watson httptcojkcosbdr shine concerned australia
266080403209740288,Politics,mitt done dc thing po256tu week say president hell work obama romney coming get
305957332192468992,Sports,wade wicket sweeping harbhajan stump missing around 5121 indvaus bowled losing australia
306270595836956672,Sports,bcci httptcofvnl1ktpb1 1st lyon 93 indvaus tendulkar test 422 run
291518381717344256,Sports,nailbiting wright sorry
278568880476143617,Politics,david house president around advisor bouncing plouffe white senior story httptcobgrug2n8
303799049318957057,Sports,squad good everyone cfc lovely cobham day morning training return
295816549883858944,Politics,republic day celebrate indian worldnhttptcobuf4cskt
305672149245497345,Sports,cleared city first corner played cfc min go game man
306832539874623488,Sports,due condition amp signing villa exaston carew athletic john current whafc forward milan bbcfootball inter
304267284246065152,Politics,make seckerry benefit foreign policy investment sizable nation return
305695872103112705,Sports,take apart httptco2tdzhgk3qj dhoni dynamic australia
304157630681735168,Politics,video suga 20 chief secretary english cabinet february conference 2013pmnhttptcoyr5k73uh press
304683937534455810,Sports,sparta first oscar win cfc game freekick challenge
300699571611369472,Sports,home problem amp tie 2001 robson talk debut would watson fedcup rt injury piersnewbery gb annekeothavong
304472546093449216,Sports,fast testing barcelona httptcocgnboy2hhr looking day mclarens perez season quickest
298457528747061248,Politics,pm pakistan karzai zardari attended president httptconwpfobhw summit afghanistan chequer photo host
271594100619350016,Politics,agency board strategic chaired httptcoxksiywub supervisory initiative putin meeting vladimir
266045769855926274,Politics,ryan po225 reelection paul representative wisconsin u2013 win
298738290717245440,Politics,video 2013pmnhttptcom9xgcvqz chief secretary english cabinet conference press sugafebruary
305304475906752513,Sports,young latter impressive restrict kohli gun placing ozs pujara messed also field manner
269751597230329856,Politics,merkel news angela joint putin conference vladimir httptcozhtgmd4i
291510654538502144,Sports,bigfinals over five dl four 152 target bbl02 127
302322382390059008,Politics,building internet intvw govindethiraj govt infra milinddeora content rt encourage creation tell excl regulate
297229537987657728,Politics,devi pm shrine pmoindia jubilee board cm release mata silver commemorative rt vaishno coin governor htt jampk
277091499831853056,Politics,fully kshn still collected case dmitry medvedev evidence closed investigated kashincase
306322955879714816,Sports,tara great moore good ive amp tournament win fun hopefully week come really surprise load
299135257817522177,Sports,rt club bfc1887 httptcoscoowirc statement
306463731074859008,Sports,likely deduction sale punishment found pship point rt lwelsh second ahead guilty bottom 5liverugby
268885075209383936,Politics,5th overview httptcohmyasjos summit meeting japanphilippines november
306496142206722049,Sports,facup kevin everton mirallass different goal current campaign 10th player scored efcs
306719563507175424,Sports,bushrangers over bowl 17 mcdermott win ryobiodc mckay hand wicket left sheridan run
291433771549470720,Sports,wicket big bigfinals tonight final shipperd httptco4a8maobq semi check warne hodge shane brad bbl02 greg
306730672402362368,Politics,business httptconjuct4ryvo global brand 40 standard top among tata
298854314523389952,Sports,app compatible unfortunately phone mrmlees hi survey mobile yet matt
306002742839750656,Sports,httptcoeiuuapnbq8 course tennis april place available coaching lancashire coach starting u2013 level
278703567974576128,Politics,satellite councilnhttptcoablew02e north missile call security pm korea launch instruction
296980992495869952,Politics,david young activist pminafrica square cameron libyan photo martyr httptcomngbpmqe meet tripoli
296825189348544512,Sports,craigtiley australianopen different site take week rt looking everything httptcog2vsnphy miss
299923604336943104,Sports,mohanstatsman tks
282797601772945408,Politics,alleppey lighthouse httptcoakbpqeoh
303477029179908096,Politics,meps horse carbon number article budget week ep httptcoxgzeoz4h meat credit economy
279312178039881729,Politics,httptcoy2rmkskk pretoria madiba issued cared presidencyza hospital
303893452209389569,Sports,possible fa httptco0ihuaatc cfc date set quarterfinal cup
305479693312880640,Sports,httptcoo3fxqwe6jr rapt bupass waca langer fightback read warrior
304078187711836162,Politics,blog blog bcim rally live follow httptcobwg0nwoh update photo car straight tumblr
305407173247266816,Sports,wake ncaa tournament multiple dropped choice hardest ever year test miami bracket going forest
301552723923443713,Politics,according social four search state photoset google top term stats union rising httptco8jxi7f5t
